date,open,high,low,close,volume,position,s,settlement,symbol
2016-03-14,1251.0,1261.9,1229.9,1236.0,0,0,0,0,GC
2016-03-15,1236.8,1238.7,1226.0,1232.8,0,0,0,0,GC
2016-03-16,1233.1,1264.8,1227.0,1263.1,0,0,0,0,GC
2016-03-17,1262.0,1271.9,1255.2,1258.6,0,0,0,0,GC
2016-03-18,1257.7,1267.7,1248.4,1256.0,0,0,0,0,GC
2016-03-21,1255.0,1256.7,1241.2,1244.1,0,0,0,0,GC
2016-03-22,1244.7,1260.9,1242.8,1248.8,0,0,0,0,GC
2016-03-23,1248.5,1249.8,1215.4,1220.1,0,0,0,0,GC
2016-03-24,1220.7,1224.2,1211.2,1216.7,0,0,0,0,GC
2016-03-25,1216.7,1216.7,1216.7,1216.7,0,0,0,0,GC
2016-03-28,1216.0,1223.2,1206.0,1221.8,0,0,0,0,GC
2016-03-29,1221.6,1243.4,1215.3,1242.5,0,0,0,0,GC
2016-03-30,1241.1,1245.0,1223.4,1225.0,0,0,0,0,GC
2016-03-31,1225.4,1239.6,1224.5,1233.4,0,0,0,0,GC
2016-04-01,1234.1,1237.2,1210.4,1223.6,0,0,0,0,GC
2016-04-04,1223.0,1224.1,1215.7,1217.0,0,0,0,0,GC
2016-04-05,1217.0,1238.8,1216.0,1232.9,0,0,0,0,GC
2016-04-06,1233.1,1233.8,1217.2,1225.7,0,0,0,0,GC
2016-04-07,1224.7,1245.0,1224.2,1242.0,0,0,0,0,GC
2016-04-08,1241.9,1244.6,1231.0,1240.1,0,0,0,0,GC
2016-04-11,1241.7,1260.9,1241.6,1259.8,0,0,0,0,GC
2016-04-12,1259.9,1264.7,1253.0,1257.4,0,0,0,0,GC
2016-04-13,1257.4,1258.7,1241.4,1244.1,0,0,0,0,GC
2016-04-14,1243.6,1245.9,1225.4,1229.3,0,0,0,0,GC
2016-04-15,1228.5,1237.6,1226.8,1235.8,0,0,0,0,GC
2016-04-18,1236.3,1243.3,1231.7,1234.0,0,0,0,0,GC
2016-04-19,1233.9,1258.5,1229.0,1251.8,0,0,0,0,GC
2016-04-20,1251.2,1259.8,1244.0,1245.8,0,0,0,0,GC
2016-04-21,1244.5,1272.4,1244.4,1249.5,0,0,0,0,GC
2016-04-22,1248.5,1254.2,1228.5,1233.7,0,0,0,0,GC
2016-04-25,1234.5,1243.8,1231.3,1239.4,0,0,0,0,GC
2016-04-26,1239.7,1246.5,1232.7,1244.8,0,0,0,0,GC
2016-04-27,1245.7,1254.6,1240.7,1247.3,0,0,0,0,GC
2016-04-28,1247.4,1271.7,1239.1,1268.1,0,0,0,0,GC
2016-04-29,1268.0,1299.0,1267.0,1294.9,0,0,0,0,GC
2016-05-02,1293.0,1306.0,1289.6,1293.4,0,0,0,0,GC
2016-05-03,1293.3,1303.9,1284.0,1288.2,0,0,0,0,GC
2016-05-04,1287.7,1291.8,1273.6,1281.5,0,0,0,0,GC
2016-05-05,1281.2,1288.4,1270.6,1279.6,0,0,0,0,GC
2016-05-06,1279.2,1297.7,1276.2,1289.7,0,0,0,0,GC
2016-05-09,1286.7,1289.7,1262.8,1265.4,0,0,0,0,GC
2016-05-10,1265.6,1272.0,1258.3,1267.3,0,0,0,0,GC
2016-05-11,1267.4,1280.8,1266.3,1278.7,0,0,0,0,GC
2016-05-12,1278.9,1282.5,1262.9,1264.7,0,0,0,0,GC
2016-05-13,1265.0,1277.7,1264.0,1274.3,0,0,0,0,GC
2016-05-16,1273.0,1290.4,1271.6,1275.5,0,0,0,0,GC
2016-05-17,1274.8,1283.9,1270.1,1280.3,0,0,0,0,GC
2016-05-18,1280.6,1283.5,1256.0,1259.5,0,0,0,0,GC
2016-05-19,1259.1,1262.3,1244.6,1255.7,0,0,0,0,GC
2016-05-20,1256.0,1261.2,1249.6,1252.9,0,0,0,0,GC
2016-05-23,1251.7,1256.8,1243.5,1249.2,0,0,0,0,GC
2016-05-24,1249.5,1252.8,1226.2,1227.2,0,0,0,0,GC
