date,gold_price,oil_price,gold_oil_ratio
2016-03-14,1236.0,39.73,31.109992449030962
2016-03-15,1232.8,38.95,31.650834403080868
2016-03-16,1263.1,40.21,31.41258393434469
2016-03-17,1258.6,41.43,30.37895244991552
2016-03-18,1256.0,41.46,30.294259527255186
2016-03-21,1244.1,41.41,30.043467761410287
2016-03-22,1248.8,41.58,30.033670033670035
2016-03-23,1220.1,40.54,30.09620128268377
2016-03-24,1216.7,40.45,30.07911001236094
2016-03-25,1216.7,40.45,30.07911001236094
2016-03-28,1221.8,40.19,30.400597163473503
2016-03-29,1242.5,39.27,31.639928698752225
2016-03-30,1225.0,39.94,30.67100650976465
2016-03-31,1233.4,40.14,30.727453911310416
2016-04-01,1223.6,38.75,31.576774193548385
2016-04-05,1232.9,38.33,32.165405687451084
2016-04-06,1225.7,39.75,30.835220125786165
2016-04-07,1242.0,39.66,31.31618759455371
2016-04-08,1240.1,41.89,29.60372403915015
2016-04-11,1259.8,42.82,29.42083138720224
2016-04-12,1257.4,44.28,28.396567299006325
2016-04-13,1244.1,43.91,28.332953769073104
2016-04-14,1229.3,43.78,28.079031521242573
2016-04-15,1235.8,42.85,28.84014002333722
2016-04-18,1234.0,43.18,28.5780453913849
2016-04-19,1251.8,43.99,28.45646737894976
2016-04-20,1245.8,45.59,27.326168019302475
2016-04-21,1249.5,44.73,27.934272300469484
2016-04-22,1233.7,45.16,27.318423383525246
2016-04-25,1239.4,44.76,27.689901697944595
2016-04-26,1244.8,46.42,26.81602757432141
2016-04-27,1247.3,47.28,26.381133671742806
2016-04-28,1268.1,47.68,26.596057046979865
2016-04-29,1294.9,47.32,27.364750633981405
2016-05-02,1293.4,45.91,28.172511435417125
2016-05-03,1288.2,45.23,28.481096617289413
2016-05-04,1281.5,44.92,28.528495102404275
2016-05-05,1279.6,45.22,28.29721362229102
2016-05-06,1289.7,45.28,28.482773851590107
2016-05-09,1265.4,43.45,29.12313003452244
2016-05-10,1267.3,45.44,27.889524647887324
2016-05-11,1278.7,47.4,26.97679324894515
2016-05-12,1264.7,47.91,26.397411813817577
2016-05-13,1274.3,47.85,26.63113897596656
2016-05-16,1275.5,49.13,25.961734174638714
2016-05-17,1280.3,49.36,25.93800648298217
2016-05-18,1259.5,48.54,25.947672023073753
2016-05-19,1255.7,48.88,25.689443535188214
2016-05-20,1252.9,48.74,25.70578580221584
2016-05-23,1249.2,48.39,25.815251084934904
2016-05-24,1227.2,49.04,25.02446982055465
2016-05-25,1224.3,49.76,24.604099678456592
2016-05-26,1219.8,49.33,24.727346442327185
2016-05-27,1212.4,50.03,24.233459924045572
2016-05-30,1205.7,50.28,23.979713603818617
2016-05-31,1215.4,49.52,24.54361873990307
2016-06-01,1215.2,49.74,24.43104141535987
2016-06-02,1212.9,49.95,24.28228228228228
2016-06-03,1246.5,49.84,25.01003210272873
2016-06-06,1247.7,50.48,24.716719492868464
2016-06-07,1246.2,50.86,24.502556036177744
2016-06-08,1265.5,52.7,24.013282732447816
2016-06-09,1272.5,51.86,24.537215580408795
2016-06-10,1276.3,50.48,25.283280507131536
2016-06-13,1286.8,50.0,25.736
2016-06-14,1288.5,49.25,26.16243654822335
2016-06-15,1294.5,48.62,26.624845742492802
2016-06-16,1281.5,47.03,27.24856474590687
2016-06-17,1301.6,49.25,26.428426395939084
2016-06-20,1293.0,50.41,25.649672683991273
2016-06-21,1270.7,50.95,24.940137389597645
2016-06-22,1268.9,49.89,25.433954700340752
2016-06-23,1259.3,51.14,24.624560031286663
2016-06-24,1319.1,48.41,27.248502375542245
2016-06-27,1327.6,47.53,27.93183252682516
2016-06-28,1314.5,48.66,27.013974517057132
2016-06-29,1321.8,50.96,25.93799058084772
2016-06-30,1324.7,49.74,26.632488942501006
2016-07-01,1344.9,50.66,26.547572048953814
2016-07-04,1353.5,50.04,27.04836131095124
2016-07-05,1358.7,48.18,28.20049813200498
2016-07-06,1365.7,49.25,27.72994923857868
2016-07-07,1361.8,46.45,29.317545748116252
2016-07-08,1367.4,46.44,29.444444444444446
2016-07-11,1356.1,46.07,29.43564141523768
2016-07-12,1333.7,48.19,27.675866362315837
2016-07-13,1343.3,46.56,28.850945017182127
2016-07-14,1335.6,47.13,28.3386378103119
2016-07-15,1337.7,48.09,27.816593886462883
2016-07-18,1329.1,47.03,28.260684669359982
2016-07-19,1332.3,46.71,28.5228002569043
2016-07-20,1315.8,47.13,27.918523233609164
2016-07-21,1331.2,46.19,28.820090928772466
2016-07-22,1322.1,45.74,28.904678618277217
2016-07-25,1315.3,44.68,29.43822739480752
2016-07-26,1320.2,44.57,29.620821180166033
2016-07-27,1339.9,43.36,30.90175276752768
2016-07-28,1332.6,43.16,30.8758109360519
2016-07-29,1349.7,43.21,31.235825040499886
2016-08-01,1359.9,42.22,32.2098531501658
2016-08-02,1370.3,41.97,32.64951155587324
2016-08-03,1364.5,43.44,31.411141804788215
2016-08-04,1367.2,44.22,30.91813658977838
2016-08-05,1341.4,44.42,30.19810895992796
2016-08-08,1341.0,45.18,29.681274900398407
2016-08-09,1346.6,44.99,29.931095799066455
2016-08-10,1352.3,43.84,30.846259124087588
2016-08-11,1344.3,45.96,29.24934725848564
2016-08-12,1341.7,47.19,28.43187115914389
2016-08-15,1344.6,48.1,27.954261954261952
2016-08-16,1351.3,48.9,27.63394683026585
2016-08-17,1353.9,49.8,27.18674698795181
2016-08-18,1357.6,50.9,26.671905697445972
2016-08-19,1345.8,50.79,26.497341996455994
2016-08-22,1343.1,49.1,27.354378818737267
2016-08-23,1341.4,49.58,27.055264219443327
2016-08-24,1327.3,49.03,27.071180909647154
2016-08-25,1325.1,49.68,26.67270531400966
2016-08-26,1324.0,49.57,26.70970344966714
2016-08-29,1326.7,49.2,26.965447154471544
2016-08-30,1313.8,48.68,26.98849630238291
2016-08-31,1311.8,46.97,27.928464977645305
2016-09-01,1317.2,45.82,28.747271933653426
2016-09-02,1328.8,46.68,28.466152527849186
2016-09-05,1330.7,47.4,28.07383966244726
2016-09-06,1354.4,47.36,28.597972972972975
2016-09-07,1349.5,48.55,27.796086508753863
2016-09-08,1342.2,49.69,27.011471120949892
2016-09-09,1331.8,47.88,27.81537176274018
2016-09-12,1331.1,48.15,27.64485981308411
2016-09-13,1322.1,47.19,28.016528925619834
2016-09-14,1326.3,45.97,28.85142484228845
2016-09-15,1317.8,46.41,28.394742512389573
2016-09-16,1313.2,46.05,28.51682953311618
2016-09-19,1316.4,45.92,28.667247386759584
2016-09-20,1318.0,46.2,28.528138528138527
2016-09-21,1339.0,47.05,28.459086078639746
2016-09-22,1340.7,47.5,28.225263157894737
2016-09-23,1341.1,46.6,28.778969957081543
2016-09-26,1341.9,47.54,28.22675641564998
2016-09-27,1330.7,46.75,28.464171122994653
2016-09-28,1324.9,49.43,26.803560590734374
2016-09-29,1323.5,49.62,26.672712615880695
2016-09-30,1318.8,49.99,26.38127625525105
2016-10-03,1314.0,49.95,26.306306306306304
2016-10-04,1270.5,51.31,24.7612551159618
2016-10-05,1269.0,51.61,24.588258089517534
2016-10-06,1256.2,52.59,23.88667046967104
2016-10-07,1258.6,51.69,24.349003675759334
2016-10-10,1261.4,52.92,23.835978835978835
2016-10-11,1256.8,52.32,24.021406727828744
2016-10-12,1256.8,51.66,24.328300425861404
2016-10-13,1259.4,51.96,24.237875288683604
2016-10-14,1251.7,52.0,24.071153846153848
2016-10-17,1256.4,51.68,24.311145510835914
2016-10-18,1263.3,52.14,24.22899884925201
2016-10-19,1270.0,52.54,24.17205938332699
2016-10-20,1266.2,51.39,24.639034831679314
2016-10-21,1266.7,51.92,24.397149460708782
2016-10-24,1265.0,51.77,24.435000965810314
2016-10-25,1274.3,50.26,25.3541583764425
2016-10-26,1267.5,49.95,25.375375375375373
2016-10-27,1269.2,51.43,24.678203383239357
2016-10-28,1276.0,50.57,25.232351196361478
2016-10-31,1277.8,48.51,26.340960626674914
2016-11-01,1289.1,47.9,26.91231732776618
2016-11-02,1297.8,47.08,27.565845369583688
2016-11-03,1303.6,46.28,28.167675021607604
2016-11-04,1305.2,45.59,28.629085325729324
2016-11-07,1281.9,46.33,27.668897042952732
2016-11-08,1275.9,45.82,27.845918812745527
2016-11-09,1278.2,46.5,27.488172043010753
2016-11-10,1258.6,45.66,27.564607971966712
2016-11-11,1227.4,44.52,27.5696316262354
2016-11-14,1221.0,44.76,27.278820375335123
2016-11-15,1228.4,46.91,26.186314218716696
2016-11-16,1225.0,46.34,26.435045317220542
2016-11-17,1216.0,46.0,26.434782608695652
2016-11-18,1207.3,46.89,25.747494135210065
2016-11-21,1214.0,49.04,24.75530179445351
2016-11-22,1212.0,49.05,24.70948012232416
2016-11-23,1187.8,48.88,24.300327332242222
2016-11-24,1183.6,48.86,24.224314367580842
2016-11-25,1183.4,47.12,25.114601018675724
