月份,当月,当月同比增长,累计,date,ppi_yoy
2006年01月份,103.05,3.05,103.05,2006-01-01,103.05
2006年02月份,103.01,3.01,103.0,2006-02-01,103.01
2006年03月份,102.49,2.49,102.9,2006-03-01,102.49
2006年04月份,101.87,1.87,102.6,2006-04-01,101.87
2006年05月份,102.43,2.43,102.57,2006-05-01,102.43
2006年06月份,103.52,3.52,102.7,2006-06-01,103.52
2006年07月份,103.58,3.58,102.9,2006-07-01,103.58
2006年08月份,103.4,3.4,102.9,2006-08-01,103.4
2006年09月份,103.45,3.45,103.0,2006-09-01,103.45
2006年10月份,102.9,2.9,103.0,2006-10-01,102.9
2006年11月份,102.78,2.78,103.0,2006-11-01,102.78
2006年12月份,103.05,3.05,103.0,2006-12-01,103.05
2007年01月份,103.3,3.3,103.3,2007-01-01,103.3
2007年02月份,102.6,2.6,103.0,2007-02-01,102.6
2007年03月份,102.65,2.65,102.9,2007-03-01,102.65
2007年04月份,102.87,2.87,102.9,2007-04-01,102.87
2007年05月份,102.76,2.76,102.8,2007-05-01,102.76
2007年06月份,102.49,2.49,102.8,2007-06-01,102.49
2007年07月份,102.39,2.39,102.7,2007-07-01,102.39
2007年08月份,102.56,2.56,102.7,2007-08-01,102.56
2007年09月份,102.71,2.71,102.7,2007-09-01,102.71
2007年10月份,103.21,3.21,102.8,2007-10-01,103.21
2007年11月份,104.55,4.55,102.9,2007-11-01,104.55
2007年12月份,105.43,5.43,103.1,2007-12-01,105.43
2008年01月份,106.07,6.07,106.07,2008-01-01,106.07
2008年02月份,106.62,6.62,106.4,2008-02-01,106.62
2008年03月份,107.95,7.95,106.9,2008-03-01,107.95
2008年04月份,108.12,8.12,107.2,2008-04-01,108.12
2008年05月份,108.22,8.22,107.4,2008-05-01,108.22
2008年06月份,108.84,8.84,107.6,2008-06-01,108.84
2008年07月份,110.03,10.03,108.0,2008-07-01,110.03
2008年08月份,110.06,10.06,108.2,2008-08-01,110.06
2008年09月份,109.13,9.13,108.34,2008-09-01,109.13
2008年10月份,106.59,6.59,108.16,2008-10-01,106.59
2008年11月份,101.99,1.99,107.6,2008-11-01,101.99
2008年12月份,98.86,-1.14,106.87,2008-12-01,98.86
2009年01月份,96.65,-3.35,96.65,2009-01-01,96.65
2009年02月份,95.53,-4.47,96.1,2009-02-01,95.53
2009年03月份,94.01,-5.99,95.4,2009-03-01,94.01
2009年04月份,93.4,-6.6,94.9,2009-04-01,93.4
2009年05月份,92.8,-7.2,94.48,2009-05-01,92.8
2009年06月份,92.2,-7.8,94.1,2009-06-01,92.2
2009年07月份,91.78,-8.22,93.76,2009-07-01,91.78
2009年08月份,92.14,-7.86,93.56,2009-08-01,92.14
2009年09月份,93.01,-6.99,93.5,2009-09-01,93.01
2009年10月份,94.15,-5.85,93.57,2009-10-01,94.15
2009年11月份,97.92,-2.08,93.96,2009-11-01,97.92
2009年12月份,101.7,1.7,94.61,2009-12-01,101.7
2010年01月份,104.32,4.32,104.32,2010-01-01,104.32
2010年02月份,105.39,5.39,104.86,2010-02-01,105.39
2010年03月份,105.91,5.91,105.21,2010-03-01,105.91
2010年04月份,106.81,6.81,105.61,2010-04-01,106.81
2010年05月份,107.13,7.13,105.9,2010-05-01,107.13
2010年06月份,106.41,6.41,106.0,2010-06-01,106.41
2010年07月份,104.84,4.84,105.83,2010-07-01,104.84
2010年08月份,104.32,4.32,105.64,2010-08-01,104.32
2010年09月份,104.33,4.33,105.5,2010-09-01,104.33
2010年10月份,105.04,5.04,105.45,2010-10-01,105.04
2010年11月份,106.06,6.06,105.51,2010-11-01,106.06
2010年12月份,105.93,5.93,105.54,2010-12-01,105.93
2011年01月份,106.6436,6.6436,106.6436,2011-01-01,106.6436
2011年02月份,107.2322,7.2322,106.9383,2011-02-01,107.2322
2011年03月份,107.3081,7.3081,107.0621,2011-03-01,107.3081
2011年04月份,106.821,6.821,107.0012,2011-04-01,106.821
2011年05月份,106.7851,6.7851,106.9575,2011-05-01,106.7851
2011年06月份,107.1209,7.1209,106.9849,2011-06-01,107.1209
2011年07月份,107.5417,7.5417,107.0646,2011-07-01,107.5417
2011年08月份,107.2528,7.2528,107.0883,2011-08-01,107.2528
2011年09月份,106.5227,6.5227,107.0247,2011-09-01,106.5227
2011年10月份,105.0038,5.0038,106.8191,2011-10-01,105.0038
2011年11月份,102.7179,2.7179,106.4352,2011-11-01,102.7179
2011年12月份,101.6854,1.6854,106.026,2011-12-01,101.6854
2012年01月份,100.7347,0.7347,100.7347,2012-01-01,100.7347
2012年02月份,100.0284,0.0284,100.38,2012-02-01,100.0284
2012年03月份,99.6829,-0.3171,100.146,2012-03-01,99.6829
2012年04月份,99.3016,-0.6984,99.933,2012-04-01,99.3016
2012年05月份,98.6019,-1.3981,99.664,2012-05-01,98.6019
2012年06月份,97.9157,-2.0843,99.3703,2012-06-01,97.9157
2012年07月份,97.1349,-2.8651,99.0486,2012-07-01,97.1349
2012年08月份,96.5216,-3.4784,98.7304,2012-08-01,96.5216
2012年09月份,96.4455,-3.5545,98.4748,2012-09-01,96.4455
2012年10月份,97.2442,-2.7558,98.3518,2012-10-01,97.2442
2012年11月份,97.8005,-2.1995,98.302,2012-11-01,97.8005
2012年12月份,98.0603,-1.9397,98.282,2012-12-01,98.0603
2013年01月份,98.3628,-1.6372,98.3628,2013-01-01,98.3628
2013年02月份,98.3746,-1.6254,98.3688,2013-02-01,98.3746
2013年03月份,98.081,-1.919,98.2726,2013-03-01,98.081
2013年04月份,97.3825,-2.6175,98.0494,2013-04-01,97.3825
2013年05月份,97.1342,-2.8658,97.8665,2013-05-01,97.1342
2013年06月份,97.3035,-2.6965,97.7733,2013-06-01,97.3035
2013年07月份,97.7288,-2.2712,97.767,2013-07-01,97.7288
2013年08月份,98.375,-1.625,97.8419,2013-08-01,98.375
2013年09月份,98.6561,-1.3439,97.9311,2013-09-01,98.6561
2013年10月份,98.4929,-1.5071,97.9866,2013-10-01,98.4929
2013年11月份,98.5758,-1.4242,98.0396,2013-11-01,98.5758
2013年12月份,98.6443,-1.3557,98.0894,2013-12-01,98.6443
2014年01月份,98.3606,-1.6394,98.3606,2014-01-01,98.3606
2014年02月份,97.9818,-2.0182,98.171,2014-02-01,97.9818
2014年03月份,97.6981,-2.3022,98.0133,2014-03-01,97.6981
2014年04月份,97.9958,-2.0042,98.0089,2014-04-01,97.9958
2014年05月份,98.5536,-1.4464,98.117,2014-05-01,98.5536
2014年06月份,98.8908,-1.1086,98.2445,2014-06-01,98.8908
2014年07月份,99.1312,-0.8688,98.3696,2014-07-01,99.1312
2014年08月份,98.7962,-1.2038,98.4224,2014-08-01,98.7962
