date,open,high,low,close,volume,maturity
2022-04-18,2.491,2.514,2.438,2.4562,0,2y
2022-04-19,2.448,2.612,2.432,2.5728,0,2y
2022-04-20,2.611,2.629,2.546,2.5815,0,2y
2022-04-21,2.592,2.73,2.592,2.6906,0,2y
2022-04-22,2.73,2.787,2.671,2.7176,0,2y
2022-04-25,2.655,2.674,2.525,2.6341,0,2y
2022-04-26,2.605,2.673,2.475,2.5422,0,2y
2022-04-27,2.55,2.609,2.506,2.5808,0,2y
2022-04-28,2.579,2.68,2.552,2.6456,0,2y
2022-04-29,2.6456,2.755,2.613,2.7024,0,2y
2022-05-02,2.731,2.752,2.69,2.7271,0,2y
2022-05-03,2.7271,2.791,2.701,2.7681,0,2y
2022-05-04,2.7681,2.844,2.603,2.6136,0,2y
2022-05-05,2.65,2.74,2.636,2.7279,0,2y
2022-05-06,2.723,2.76,2.645,2.696,0,2y
2022-05-09,2.745,2.756,2.575,2.6225,0,2y
2022-05-10,2.604,2.643,2.553,2.6226,0,2y
2022-05-11,2.623,2.857,2.574,2.631,0,2y
2022-05-12,2.635,2.67,2.516,2.5243,0,2y
2022-05-13,2.58,2.634,2.561,2.5986,0,2y
2022-05-16,2.601,2.617,2.543,2.5657,0,2y
2022-05-17,2.582,2.715,2.576,2.6982,0,2y
2022-05-18,2.688,2.732,2.651,2.6653,0,2y
2022-05-19,2.663,2.686,2.582,2.6073,0,2y
2022-05-20,2.624,2.651,2.556,2.5827,0,2y
2022-05-23,2.616,2.643,2.591,2.6245,0,2y
2022-05-24,2.618,2.631,2.464,2.4829,0,2y
2022-05-25,2.518,2.538,2.468,2.5,0,2y
2022-05-26,2.508,2.522,2.438,2.4919,0,2y
2022-05-27,2.488,2.5,2.452,2.5,0,2y
2022-05-31,2.573,2.589,2.524,2.5403,0,2y
2022-06-01,2.577,2.676,2.561,2.6619,0,2y
2022-06-02,2.648,2.668,2.626,2.6377,0,2y
2022-06-03,2.654,2.689,2.632,2.6708,0,2y
2022-06-06,2.667,2.736,2.655,2.7364,0,2y
2022-06-07,2.737,2.759,2.696,2.7367,0,2y
2022-06-08,2.743,2.782,2.737,2.778,0,2y
2022-06-09,2.789,2.842,2.77,2.8195,0,2y
2022-06-10,2.829,3.071,2.821,3.0528,0,2y
2022-06-13,3.139,3.417,3.124,3.2788,0,2y
2022-06-14,3.393,3.456,3.23,3.4309,0,2y
2022-06-15,3.405,3.441,3.195,3.2808,0,2y
2022-06-16,3.219,3.398,3.085,3.1561,0,2y
2022-06-21,3.239,3.258,3.175,3.1942,0,2y
2022-06-22,3.204,3.216,3.037,3.0602,0,2y
2022-06-23,3.034,3.099,2.876,3.0103,0,2y
2022-06-24,3.015,3.091,2.951,3.0547,0,2y
2022-06-27,3.068,3.155,3.055,3.1234,0,2y
2022-06-28,3.116,3.154,3.081,3.1218,0,2y
2022-06-29,3.118,3.136,3.039,3.0568,0,2y
2022-07-01,2.981,2.981,2.729,2.8451,0,2y
2022-07-05,2.914,2.965,2.776,2.8123,0,2y
2022-07-06,2.843,3.016,2.763,2.9589,0,2y
2022-07-07,2.99,3.061,2.957,3.0407,0,2y
2022-07-08,3.031,3.146,2.991,3.1232,0,2y
2022-07-14,3.18,3.269,3.109,3.1487,0,2y
2022-07-15,3.114,3.187,3.058,3.1325,0,2y
2022-07-18,3.1325,3.222,3.112,3.1577,0,2y
2022-07-19,3.17,3.246,3.139,3.2332,0,2y
2022-07-21,3.236,3.276,3.081,3.0913,0,2y
2022-07-25,3.01,3.041,2.98,3.0329,0,2y
2022-07-26,3.002,3.065,2.978,3.0406,0,2y
2022-07-27,3.051,3.108,2.964,2.9756,0,2y
2022-07-28,2.984,3.022,2.818,2.8784,0,2y
2022-07-29,2.886,2.959,2.826,2.8946,0,2y
2022-08-01,2.917,2.935,2.874,2.9106,0,2y
2022-08-02,2.86,3.085,2.819,3.0814,0,2y
2022-08-03,3.061,3.198,3.012,3.106,0,2y
2022-08-04,3.088,3.12,3.012,3.0407,0,2y
2022-08-05,3.039,3.335,3.035,3.2463,0,2y
2022-08-08,3.263,3.265,3.191,3.2136,0,2y
2022-08-09,3.206,3.288,3.187,3.2882,0,2y
2022-08-10,3.276,3.338,3.08,3.2141,0,2y
2022-08-11,3.2141,3.243,3.132,3.2309,0,2y
2022-08-12,3.242,3.267,3.172,3.2567,0,2y
2022-08-15,3.259,3.276,3.178,3.308,0,2y
2022-08-16,3.18,3.274,3.17,3.249,0,2y
2022-08-17,3.272,3.375,3.26,3.2911,0,2y
2022-08-18,3.283,3.327,3.199,3.2329,0,2y
2022-08-19,3.217,3.293,3.215,3.2674,0,2y
2022-08-22,3.272,3.348,3.247,3.3351,0,2y
2022-08-23,3.304,3.35,3.232,3.3102,0,2y
2022-08-24,3.319,3.407,3.283,3.3885,0,2y
2022-08-25,3.393,3.401,3.348,3.3722,0,2y
2022-08-26,3.38,3.45,3.344,3.3966,0,2y
2022-08-29,3.45,3.487,3.399,3.4293,0,2y
2022-08-30,3.411,3.497,3.395,3.462,0,2y
2022-08-31,3.45,3.503,3.425,3.4541,0,2y
2022-09-01,3.512,3.551,3.469,3.5199,0,2y
2022-09-02,3.507,3.521,3.379,3.3976,0,2y
2022-09-05,3.3976,3.4635,3.3976,3.4635,0,2y
2022-09-06,3.433,3.513,3.425,3.505,0,2y
2022-09-07,3.512,3.522,3.431,3.4475,0,2y
2022-09-08,3.439,3.514,3.404,3.4891,0,2y
2022-09-09,3.515,3.575,3.459,3.5731,0,2y
2022-09-12,3.563,3.586,3.517,3.5735,0,2y
2022-09-13,3.551,3.794,3.505,3.7581,0,2y
2022-09-14,3.797,3.834,3.736,3.7839,0,2y
2022-09-15,3.799,3.877,3.78,3.8689,0,2y
2022-09-16,3.871,3.924,3.846,3.8628,0,2y
2022-09-19,3.8628,3.97,3.862,3.9485,0,2y
2022-09-20,3.949,3.992,3.932,3.9665,0,2y
2022-09-21,3.961,4.123,3.914,3.993,0,2y
2022-09-22,4.073,4.161,4.052,4.1308,0,2y
2022-09-23,4.1308,4.268,4.113,4.2119,0,2y
2022-09-26,4.263,4.36,4.211,4.324,0,2y
2022-09-27,4.324,4.337,4.203,4.3077,0,2y
2022-09-28,4.285,4.314,4.08,4.0939,0,2y
2022-09-29,4.141,4.238,4.131,4.1678,0,2y
2022-09-30,4.202,4.287,4.136,4.2085,0,2y
2022-10-03,4.221,4.227,4.033,4.1011,0,2y
2022-10-04,4.082,4.113,3.998,4.1008,0,2y
2022-10-05,4.086,4.202,4.076,4.1502,0,2y
2022-10-06,4.144,4.266,4.131,4.2496,0,2y
2022-10-07,4.264,4.348,4.256,4.3078,0,2y
2022-10-10,4.3078,4.3413,4.3078,4.3246,0,2y
2022-10-11,4.314,4.354,4.266,4.3162,0,2y
2022-10-12,4.318,4.333,4.262,4.2911,0,2y
2022-10-13,4.299,4.535,4.262,4.4509,0,2y
2022-10-14,4.481,4.517,4.399,4.5108,0,2y
2022-10-17,4.484,4.492,4.403,4.4602,0,2y
2022-10-18,4.446,4.471,4.403,4.435,0,2y
2022-10-19,4.444,4.567,4.437,4.5542,0,2y
2022-10-20,4.6057,4.623,4.552,4.6057,0,2y
2022-10-21,4.601,4.639,4.451,4.4872,0,2y
2022-10-24,4.475,4.528,4.408,4.4961,0,2y
2022-10-25,4.501,4.507,4.398,4.4792,0,2y
2022-10-26,4.451,4.474,4.383,4.4162,0,2y
2022-10-27,4.416,4.462,4.27,4.3173,0,2y
2022-10-28,4.291,4.433,4.266,4.4245,0,2y
