date,open,high,low,close,volume,maturity
2022-04-27,2.751,2.84,2.717,2.8183,0,10y
2022-04-28,2.822,2.888,2.796,2.8629,0,10y
2022-04-29,2.8629,2.943,2.831,2.885,0,10y
2022-05-02,2.92,3.01,2.909,2.9964,0,10y
2022-05-03,2.9964,3.01,2.915,2.9575,0,10y
2022-05-04,2.9575,3.011,2.903,2.9149,0,10y
2022-05-05,2.9149,3.106,2.9149,3.0681,0,10y
2022-05-06,3.041,3.146,3.041,3.1245,0,10y
2022-05-09,3.149,3.203,3.028,3.0792,0,10y
2022-05-10,3.026,3.07,2.942,2.9928,0,10y
2022-05-11,2.995,3.074,2.907,2.9187,0,10y
2022-05-12,2.897,2.909,2.815,2.8173,0,10y
2022-05-13,2.859,2.944,2.851,2.9331,0,10y
2022-05-16,2.939,2.953,2.853,2.8786,0,10y
2022-05-17,2.888,2.997,2.888,2.9696,0,10y
2022-05-18,2.981,3.014,2.875,2.884,0,10y
2022-05-19,2.875,2.92,2.774,2.8551,0,10y
2022-05-20,2.85,2.88,2.774,2.7865,0,10y
2022-05-23,2.812,2.873,2.799,2.8586,0,10y
2022-05-24,2.846,2.864,2.718,2.7596,0,10y
2022-05-25,2.76,2.776,2.708,2.747,0,10y
2022-05-26,2.759,2.797,2.706,2.7577,0,10y
2022-05-27,2.763,2.768,2.709,2.7486,0,10y
2022-05-31,2.815,2.884,2.799,2.8441,0,10y
2022-06-01,2.869,2.951,2.835,2.9314,0,10y
2022-06-02,2.908,2.944,2.889,2.9149,0,10y
2022-06-03,2.926,2.986,2.906,2.9552,0,10y
2022-06-06,2.948,3.047,2.937,3.038,0,10y
2022-06-07,3.04,3.062,2.957,2.9699,0,10y
2022-06-08,2.992,3.04,2.983,3.0289,0,10y
2022-06-09,3.034,3.073,3.007,3.0418,0,10y
2022-06-10,3.057,3.178,2.99,3.1574,0,10y
2022-06-13,3.18,3.44,3.157,3.3713,0,10y
2022-06-14,3.379,3.498,3.269,3.483,0,10y
2022-06-15,3.454,3.464,3.28,3.3945,0,10y
2022-06-16,3.32,3.495,3.178,3.3049,0,10y
2022-06-17,3.245,3.311,3.194,3.2389,0,10y
2022-06-21,3.281,3.317,3.258,3.3054,0,10y
2022-06-22,3.277,3.283,3.124,3.1561,0,10y
2022-06-23,3.137,3.175,3.007,3.0702,0,10y
2022-06-24,3.08,3.139,3.041,3.1245,0,10y
2022-06-27,3.13,3.219,3.123,3.1941,0,10y
2022-06-28,3.204,3.258,3.172,3.2074,0,10y
2022-06-29,3.183,3.187,3.087,3.0929,0,10y
2022-06-30,3.085,3.108,2.97,2.974,0,10y
2022-07-01,3.024,3.024,2.791,2.9041,0,10y
2022-07-05,2.939,2.978,2.78,2.8109,0,10y
2022-07-06,2.835,2.935,2.747,2.9115,0,10y
2022-07-07,2.922,3.017,2.897,3.0075,0,10y
